,S21
6.69319201920192,(-0.7933217623981054+0.4433488886283443j)
6.69319401940194,(-0.7932736744017465+0.4433840151077412j)
6.69319601960196,(-0.7932255656753665+0.4434191479401666j)
6.69319801980198,(-0.7931774362071317+0.443454287125192j)
6.693200020002,(-0.7931292859851896+0.4434894326623928j)
6.69320202020202,(-0.7930811149976544+0.44352458455136j)
6.69320402040204,(-0.793032923232685+0.4435597427916438j)
6.69320602060206,(-0.7929847106783877+0.4435949073828218j)
6.69320802080208,(-0.7929364773228877+0.443630078324451j)
6.6932100210021,(-0.7928882231542923+0.4436652556160903j)
6.69321202120212,(-0.7928399481607113+0.4437004392572897j)
6.69321402140214,(-0.7927916523302092+0.4437356292476217j)
6.693216021602161,(-0.7927433356509146+0.4437708255866037j)
6.69321802180218,(-0.7926949981108313+0.4438060282738351j)
6.6932200220022,(-0.7926466396981076+0.4438412373088002j)
6.69322202220222,(-0.7925982604007492+0.443876452691079j)
6.69322402240224,(-0.7925498602068429+0.4439116744201828j)
6.69322602260226,(-0.7925014391044144+0.4439469024956585j)
6.69322802280228,(-0.7924529970814798+0.4439821369170505j)
6.6932300230023,(-0.7924045341260666+0.4440173776838863j)
6.69323202320232,(-0.7923560502262379+0.4440526247956579j)
6.69323402340234,(-0.7923075453699868+0.4440878782518994j)
6.69323602360236,(-0.7922590195452793+0.4441231380521556j)
6.69323802380238,(-0.7922104727401634+0.444158404195902j)
6.6932400240024,(-0.7921619049425532+0.4441936766827028j)
6.69324202420242,(-0.7921133161405077+0.4442289555120075j)
6.69324402440244,(-0.7920647063219424+0.4442642406833606j)
6.69324602460246,(-0.7920160754748544+0.4442995321962379j)
6.69324802480248,(-0.7919674235871615+0.4443348300501647j)
6.6932500250025,(-0.7919187506468257+0.4443701342446232j)
6.69325202520252,(-0.7918700566417848+0.4444054447791061j)
6.69325402540254,(-0.7918213415599847+0.4444407616530889j)
6.69325602560256,(-0.791772605389301+0.4444760848660905j)
6.69325802580258,(-0.7917238481176998+0.444511414417554j)
6.6932600260026,(-0.7916750697330306+0.4445467503069983j)
6.693262026202621,(-0.7916262702232164+0.4445820925338795j)
