,c_connector_arm_Q,cross_Q,ground_main_plane,misc
c_connector_arm_Q,80.40842,-3.14652,-76.76102,9
cross_Q,-3.14652,79.67869,-74.82057,150
ground_main_plane,-76.76102,-74.82057,198.98624,110
c_connector_arm_Q,42.09698,-0.90321,-40.98003,9
cross_Q,-0.90321,107.88396,-104.95666,200
ground_main_plane,-40.98003,-104.95666,198.29764,10
c_connector_arm_Q,60.91285,-1.6477,-58.94871,9
cross_Q,-1.6477,107.86466,-104.1902,200
ground_main_plane,-58.94871,-104.1902,215.41688,60
c_connector_arm_Q,80.33682,-2.88638,-77.03947,9
cross_Q,-2.88638,107.85954,-102.9544,200
ground_main_plane,-77.03947,-102.9544,232.10125,110
c_connector_arm_Q,99.69814,-4.50176,-94.68925,9
cross_Q,-4.50176,107.83261,-101.30996,200
ground_main_plane,-94.68925,-101.30996,248.01842,160
c_connector_arm_Q,42.05687,-0.89268,-41.00871,9
cross_Q,-0.89268,136.12292,-133.02253,250
ground_main_plane,-41.00871,-133.02253,231.20708,10
c_connector_arm_Q,60.95352,-1.60856,-59.1116,9
cross_Q,-1.60856,136.10005,-132.30188,250
ground_main_plane,-59.1116,-132.30188,248.37984,60
c_connector_arm_Q,80.28495,-2.79439,-77.16417,9
cross_Q,-2.79439,136.09627,-131.10513,250
ground_main_plane,-77.16417,-131.10513,265.10987,110
c_connector_arm_Q,99.66492,-4.19726,-95.06402,9
cross_Q,-4.19726,136.08373,-129.69661,250
ground_main_plane,-95.06402,-129.69661,281.56397,160
c_connector_arm_Q,119.19298,-5.88831,-112.80581,9
cross_Q,-5.88831,136.17551,-128.0885,250
ground_main_plane,-112.80581,-128.0885,297.50544,210
c_connector_arm_Q,42.09442,-0.86787,-41.04877,9
cross_Q,-0.86787,164.79768,-161.6275,300
ground_main_plane,-41.04877,-161.6275,264.37885,10
c_connector_arm_Q,60.93123,-1.58046,-59.10427,9
cross_Q,-1.58046,164.75575,-160.873,300
ground_main_plane,-59.10427,-160.873,281.63748,60
c_connector_arm_Q,80.26261,-2.74458,-77.19761,9
cross_Q,-2.74458,164.74229,-159.69542,300
ground_main_plane,-77.19761,-159.69542,298.47326,110
c_connector_arm_Q,99.55497,-4.09088,-95.08081,9
cross_Q,-4.09088,164.66948,-158.27495,300
ground_main_plane,-95.08081,-158.27495,314.95704,160
c_connector_arm_Q,119.22183,-5.55878,-113.20078,9
cross_Q,-5.55878,164.91307,-157.03063,300
ground_main_plane,-113.20078,-157.03063,331.48973,210
c_connector_arm_Q,138.54287,-7.28097,-130.7203,9
cross_Q,-7.28097,164.79809,-155.20041,300
ground_main_plane,-130.7203,-155.20041,347.14551,260
c_connector_arm_Q,42.08304,-0.85761,-41.06221,9
cross_Q,-0.85761,193.59916,-190.21783,350
ground_main_plane,-41.06221,-190.21783,297.58876,10
c_connector_arm_Q,60.91731,-1.55786,-59.1268,9
cross_Q,-1.55786,193.59984,-189.51834,350
ground_main_plane,-59.1268,-189.51834,314.89032,60
c_connector_arm_Q,80.35615,-2.70067,-77.34689,9
cross_Q,-2.70067,193.73236,-188.50247,350
ground_main_plane,-77.34689,-188.50247,331.78487,110
c_connector_arm_Q,99.72813,-4.01656,-95.32817,9
cross_Q,-4.01656,193.71731,-187.16836,350
ground_main_plane,-95.32817,-187.16836,348.3645,160
c_connector_arm_Q,119.1735,-5.41574,-113.30647,9
cross_Q,-5.41574,193.6758,-185.72845,350
ground_main_plane,-113.30647,-185.72845,364.88775,210
c_connector_arm_Q,138.49753,-6.9072,-131.06518,9
cross_Q,-6.9072,193.65539,-184.21915,350
ground_main_plane,-131.06518,-184.21915,381.10158,260
c_connector_arm_Q,158.10351,-8.63513,-148.87199,9
cross_Q,-8.63513,193.82145,-182.65396,350
ground_main_plane,-148.87199,-182.65396,397.05753,310
c_connector_arm_Q,42.06352,-0.85177,-41.07931,9
cross_Q,-0.85177,222.23834,-218.64441,400
ground_main_plane,-41.07931,-218.64441,330.42701,10
c_connector_arm_Q,60.02121,-1.5429,-58.26251,9
cross_Q,-1.5429,220.86681,-216.60021,400
ground_main_plane,-58.26251,-216.60021,346.27881,60
c_connector_arm_Q,80.19573,-2.67021,-77.2368,9
cross_Q,-2.67021,222.19594,-216.78651,400
ground_main_plane,-77.2368,-216.78651,364.61666,110
c_connector_arm_Q,99.75201,-3.95639,-95.42909,9
cross_Q,-3.95639,222.39406,-215.68578,400
ground_main_plane,-95.42909,-215.68578,381.35793,160
c_connector_arm_Q,119.12614,-5.31131,-113.36511,9
cross_Q,-5.31131,222.36179,-214.29871,400
ground_main_plane,-113.36511,-214.29871,397.83625,210
c_connector_arm_Q,138.42906,-6.72385,-131.18415,9
cross_Q,-6.72385,222.25005,-212.77701,400
ground_main_plane,-131.18415,-212.77701,414.13891,260
c_connector_arm_Q,157.79711,-8.21948,-148.97941,9
cross_Q,-8.21948,222.23507,-211.2675,400
ground_main_plane,-148.97941,-211.2675,430.36023,310
c_connector_arm_Q,177.14865,-9.95947,-166.52243,9
cross_Q,-9.95947,222.19868,-209.49088,400
ground_main_plane,-166.52243,-209.49088,446.05597,360
c_connector_arm_Q,42.12955,-0.84724,-41.15419,9
cross_Q,-0.84724,251.48789,-248.00255,450
ground_main_plane,-41.15419,-248.00255,364.36521,10
c_connector_arm_Q,60.89893,-1.54324,-59.17032,9
cross_Q,-1.54324,251.18961,-247.0047,450
ground_main_plane,-59.17032,-247.0047,381.41892,60
c_connector_arm_Q,80.28149,-2.67378,-77.35631,9
cross_Q,-2.67378,251.40637,-246.09091,450
ground_main_plane,-77.35631,-246.09091,398.5246,110
c_connector_arm_Q,99.65577,-3.96048,-95.38115,9
cross_Q,-3.96048,251.45269,-244.85477,450
ground_main_plane,-95.38115,-244.85477,415.26077,160
c_connector_arm_Q,119.11727,-5.30455,-113.44022,9
cross_Q,-5.30455,251.37873,-243.43319,450
ground_main_plane,-113.44022,-243.43319,431.83483,210
c_connector_arm_Q,138.38353,-6.69407,-131.25916,9
cross_Q,-6.69407,251.32327,-241.98918,450
ground_main_plane,-131.25916,-241.98918,448.15303,260
c_connector_arm_Q,157.74598,-8.12526,-149.13071,9
cross_Q,-8.12526,251.25277,-240.48585,450
ground_main_plane,-149.13071,-240.48585,464.5013,310
c_connector_arm_Q,178.36719,-9.63918,-168.22717,9
cross_Q,-9.63918,251.9671,-239.81315,450
ground_main_plane,-168.22717,-239.81315,482.84509,360
c_connector_arm_Q,196.63567,-11.39547,-184.64148,9
cross_Q,-11.39547,251.41797,-237.38137,450
ground_main_plane,-184.64148,-237.38137,496.76018,410
c_connector_arm_Q,42.00411,-0.84179,-41.03546,9
cross_Q,-0.84179,279.86655,-276.30206,500
ground_main_plane,-41.03546,-276.30206,397.13477,10
c_connector_arm_Q,60.9177,-1.53053,-59.20088,9
cross_Q,-1.53053,280.11438,-275.86935,500
ground_main_plane,-59.20088,-275.86935,414.75281,60
c_connector_arm_Q,80.24258,-2.66331,-77.34278,9
cross_Q,-2.66331,280.11452,-274.73268,500
ground_main_plane,-77.34278,-274.73268,431.68574,110
c_connector_arm_Q,99.61581,-3.94087,-95.39124,9
cross_Q,-3.94087,280.12938,-273.47015,500
ground_main_plane,-95.39124,-273.47015,448.41536,160
c_connector_arm_Q,119.18961,-5.26888,-113.57928,9
cross_Q,-5.26888,280.39249,-272.40319,500
ground_main_plane,-113.57928,-272.40319,465.32353,210
c_connector_arm_Q,138.52031,-6.63371,-131.4871,9
cross_Q,-6.63371,280.37939,-271.02585,500
ground_main_plane,-131.4871,-271.02585,481.81206,260
c_connector_arm_Q,158.65104,-8.04403,-150.17886,9
cross_Q,-8.04403,280.82155,-270.07849,500
ground_main_plane,-150.17886,-270.07849,499.34314,310
c_connector_arm_Q,177.24152,-9.46697,-167.27943,9
cross_Q,-9.46697,280.20158,-268.01431,500
ground_main_plane,-167.27943,-268.01431,514.5408,360
c_connector_arm_Q,196.62804,-10.97889,-185.10228,9
cross_Q,-10.97889,280.21375,-266.51368,500
ground_main_plane,-185.10228,-266.51368,530.82541,410
c_connector_arm_Q,216.27595,-12.74266,-202.95692,9
cross_Q,-12.74266,280.43376,-264.96796,500
ground_main_plane,-202.95692,-264.96796,547.00218,460
c_connector_arm_Q,44.72407,-0.80734,-43.59336,15
cross_Q,-0.80734,26.62662,-25.0806,50
ground_main_plane,-43.59336,-25.0806,106.62144,10
c_connector_arm_Q,44.61826,-0.80613,-43.5153,15
cross_Q,-0.80613,52.2126,-49.93276,100
ground_main_plane,-43.5153,-49.93276,135.68444,10
c_connector_arm_Q,63.55436,-1.45482,-61.64782,15
cross_Q,-1.45482,52.19787,-49.2685,100
ground_main_plane,-61.64782,-49.2685,153.02976,60
c_connector_arm_Q,44.60046,-0.77462,-43.56409,15
cross_Q,-0.77462,79.67463,-77.20205,150
ground_main_plane,-43.56409,-77.20205,168.43363,10
c_connector_arm_Q,63.7964,-1.34855,-62.07644,15
cross_Q,-1.34855,79.83036,-76.79714,150
ground_main_plane,-62.07644,-76.79714,186.42171,60
c_connector_arm_Q,83.27681,-2.42169,-80.37765,15
cross_Q,-2.42169,79.8225,-75.71518,150
ground_main_plane,-80.37765,-75.71518,203.52724,110
c_connector_arm_Q,44.51479,-0.74633,-43.5454,15
cross_Q,-0.74633,107.84768,-105.07559,200
ground_main_plane,-43.5454,-105.07559,201.09817,10
c_connector_arm_Q,63.56433,-1.28402,-61.95458,15
cross_Q,-1.28402,107.88248,-104.57541,200
ground_main_plane,-61.95458,-104.57541,218.85677,60
c_connector_arm_Q,82.98721,-2.21046,-80.34073,15
cross_Q,-2.21046,107.83397,-103.57497,200
ground_main_plane,-80.34073,-103.57497,236.00705,110
c_connector_arm_Q,102.4882,-3.46254,-98.49011,15
cross_Q,-3.46254,107.82031,-102.30859,200
ground_main_plane,-98.49011,-102.30859,252.7945,160
c_connector_arm_Q,44.44336,-0.73467,-43.53652,15
cross_Q,-0.73467,136.13383,-133.1755,250
ground_main_plane,-43.53652,-133.1755,234.07694,10
c_connector_arm_Q,63.51043,-1.24881,-62.00267,15
cross_Q,-1.24881,136.16592,-132.68295,250
ground_main_plane,-62.00267,-132.68295,251.73878,60
c_connector_arm_Q,82.98242,-2.12572,-80.5056,15
cross_Q,-2.12572,136.16763,-131.80602,250
ground_main_plane,-80.5056,-131.80602,269.27345,110
c_connector_arm_Q,102.45605,-3.20491,-98.81426,15
cross_Q,-3.20491,136.1524,-130.71159,250
ground_main_plane,-98.81426,-130.71159,286.38826,160
c_connector_arm_Q,122.20963,-4.52433,-117.15441,15
cross_Q,-4.52433,136.27475,-129.51247,250
ground_main_plane,-117.15441,-129.51247,303.32584,210
c_connector_arm_Q,44.42614,-0.71508,-43.53671,15
cross_Q,-0.71508,164.75937,-161.71978,300
ground_main_plane,-43.53671,-161.71978,267.45769,10
c_connector_arm_Q,63.49339,-1.22047,-62.02116,15
cross_Q,-1.22047,164.80998,-161.26313,300
ground_main_plane,-62.02116,-161.26313,285.22649,60
c_connector_arm_Q,82.94305,-2.0757,-80.54015,15
cross_Q,-2.0757,164.81281,-160.40696,300
ground_main_plane,-80.54015,-160.40696,302.79754,110
c_connector_arm_Q,102.40033,-3.10024,-98.89595,15
cross_Q,-3.10024,164.76288,-159.33656,300
ground_main_plane,-98.89595,-159.33656,320.06616,160
c_connector_arm_Q,122.17427,-4.24108,-117.45501,15
cross_Q,-4.24108,164.97132,-158.39196,300
ground_main_plane,-117.45501,-158.39196,337.4352,210
c_connector_arm_Q,141.62932,-5.59226,-135.48139,15
cross_Q,-5.59226,164.88564,-156.95862,300
ground_main_plane,-135.48139,-156.95862,353.97279,260
c_connector_arm_Q,44.65477,-0.70462,-43.78852,15
cross_Q,-0.70462,194.00704,-190.8175,350
ground_main_plane,-43.78852,-190.8175,301.06185,10
c_connector_arm_Q,63.60419,-1.20449,-62.17115,15
cross_Q,-1.20449,193.95503,-190.26643,350
ground_main_plane,-62.17115,-190.26643,318.85029,60
c_connector_arm_Q,83.07065,-2.04702,-80.72283,15
cross_Q,-2.04702,193.94636,-189.41267,350
ground_main_plane,-80.72283,-189.41267,336.50548,110
c_connector_arm_Q,102.61349,-3.04773,-99.19196,15
cross_Q,-3.04773,193.93489,-188.39841,350
ground_main_plane,-99.19196,-188.39841,353.88302,160
c_connector_arm_Q,122.34024,-4.12988,-117.77211,15
cross_Q,-4.12988,194.0931,-187.47729,350
ground_main_plane,-117.77211,-187.47729,371.43568,210
c_connector_arm_Q,141.64799,-5.29111,-135.84886,15
cross_Q,-5.29111,193.88521,-186.10054,350
ground_main_plane,-135.84886,-186.10054,388.1149,260
c_connector_arm_Q,162.0479,-6.6574,-154.81679,15
cross_Q,-6.6574,194.23069,-185.0951,350
ground_main_plane,-154.81679,-185.0951,405.83284,310
c_connector_arm_Q,44.48876,-0.69663,-43.65391,15
cross_Q,-0.69663,222.21732,-218.80174,400
ground_main_plane,-43.65391,-218.80174,333.3389,10
c_connector_arm_Q,63.44138,-1.19008,-62.03755,15
cross_Q,-1.19008,222.1679,-218.26793,400
ground_main_plane,-62.03755,-218.26793,351.17054,60
c_connector_arm_Q,82.78102,-2.02051,-80.48147,15
cross_Q,-2.02051,222.15947,-217.42103,400
ground_main_plane,-80.48147,-217.42103,368.7604,110
c_connector_arm_Q,102.53195,-2.99612,-99.18824,15
cross_Q,-2.99612,222.31646,-216.60407,400
ground_main_plane,-99.18824,-216.60407,386.29356,160
c_connector_arm_Q,122.26934,-4.04594,-117.80084,15
cross_Q,-4.04594,222.5626,-215.79585,400
ground_main_plane,-117.80084,-215.79585,403.80942,210
c_connector_arm_Q,141.59779,-5.13581,-135.97573,15
cross_Q,-5.13581,222.26732,-214.41245,400
ground_main_plane,-135.97573,-214.41245,420.78684,260
c_connector_arm_Q,161.23815,-6.30973,-154.37118,15
cross_Q,-6.30973,222.45394,-213.42685,400
ground_main_plane,-154.37118,-213.42685,437.92923,310
c_connector_arm_Q,180.70303,-7.68087,-172.40089,15
cross_Q,-7.68087,222.4179,-212.01919,400
ground_main_plane,-172.40089,-212.01919,454.54229,360
c_connector_arm_Q,44.40999,-0.69215,-43.58456,15
cross_Q,-0.69215,251.00275,-247.76275,450
ground_main_plane,-43.58456,-247.76275,366.85421,10
c_connector_arm_Q,63.37827,-1.18788,-62.00221,15
cross_Q,-1.18788,250.98449,-247.2454,450
ground_main_plane,-62.00221,-247.2454,384.68314,60
c_connector_arm_Q,82.991,-2.01409,-80.72668,15
cross_Q,-2.01409,251.24394,-246.68364,450
ground_main_plane,-80.72668,-246.68364,402.66599,110
c_connector_arm_Q,102.49802,-2.98799,-99.19797,15
cross_Q,-2.98799,251.22184,-245.68938,450
ground_main_plane,-99.19797,-245.68938,420.12435,160
c_connector_arm_Q,122.56046,-4.02238,-118.15796,15
cross_Q,-4.02238,251.84834,-245.29503,450
ground_main_plane,-118.15796,-245.29503,438.44263,210
c_connector_arm_Q,142.45209,-5.09435,-136.92331,15
cross_Q,-5.09435,251.9223,-244.30978,450
ground_main_plane,-136.92331,-244.30978,456.08828,260
c_connector_arm_Q,161.95111,-6.2037,-155.25247,15
cross_Q,-6.2037,251.8823,-243.15464,450
ground_main_plane,-155.25247,-243.15464,473.25725,310
c_connector_arm_Q,181.83101,-7.38869,-173.89866,15
cross_Q,-7.38869,251.94888,-242.04854,450
ground_main_plane,-173.89866,-242.04854,490.67002,360
c_connector_arm_Q,200.08839,-8.77268,-190.72594,15
cross_Q,-8.77268,251.22892,-239.91571,450
ground_main_plane,-190.72594,-239.91571,505.5718,410
c_connector_arm_Q,44.38995,-0.68665,-43.59515,15
cross_Q,-0.68665,279.85262,-276.46874,500
ground_main_plane,-43.59515,-276.46874,400.51443,10
c_connector_arm_Q,63.33392,-1.17828,-61.99618,15
cross_Q,-1.17828,279.87119,-275.99677,500
ground_main_plane,-61.99618,-275.99677,418.39816,60
c_connector_arm_Q,82.88394,-2.0083,-80.66755,15
cross_Q,-2.0083,280.05421,-275.33041,500
ground_main_plane,-80.66755,-275.33041,436.18621,110
c_connector_arm_Q,102.43852,-2.97469,-99.21491,15
cross_Q,-2.97469,280.08332,-274.38823,500
ground_main_plane,-99.21491,-274.38823,453.72467,160
c_connector_arm_Q,121.95812,-3.99702,-117.66773,15
cross_Q,-3.99702,280.12688,-273.40192,500
ground_main_plane,-117.66773,-273.40192,471.10404,210
c_connector_arm_Q,141.4204,-5.05008,-136.03495,15
cross_Q,-5.05008,280.05964,-272.29233,500
ground_main_plane,-136.03495,-272.29233,488.40089,260
c_connector_arm_Q,161.21394,-6.13849,-154.69777,15
cross_Q,-6.13849,280.29408,-271.41546,500
ground_main_plane,-154.69777,-271.41546,505.91646,310
c_connector_arm_Q,180.92292,-7.24999,-173.28878,15
cross_Q,-7.24999,280.46945,-270.46005,500
ground_main_plane,-173.28878,-270.46005,523.42333,360
c_connector_arm_Q,200.19923,-8.43624,-191.29742,15
cross_Q,-8.43624,280.2277,-269.05326,500
ground_main_plane,-191.29742,-269.05326,540.12788,410
c_connector_arm_Q,219.64815,-9.81007,-209.36717,15
cross_Q,-9.81007,280.07682,-267.53186,500
ground_main_plane,-209.36717,-267.53186,556.66437,460
c_connector_arm_Q,47.32194,-0.65991,-46.28894,22
cross_Q,-0.65991,26.59692,-25.2097,50
ground_main_plane,-46.28894,-25.2097,110.16939,10
c_connector_arm_Q,47.30367,-0.67552,-46.30082,22
cross_Q,-0.67552,52.17181,-50.06724,100
ground_main_plane,-46.30082,-50.06724,139.05357,10
c_connector_arm_Q,66.35289,-1.15402,-64.7259,22
cross_Q,-1.15402,52.17777,-49.59527,100
ground_main_plane,-64.7259,-49.59527,156.85643,60
c_connector_arm_Q,47.31327,-0.64829,-46.45625,22
cross_Q,-0.64829,79.63569,-77.1265,150
ground_main_plane,-46.45625,-77.1265,170.98009,10
c_connector_arm_Q,66.27305,-1.06722,-64.8864,22
cross_Q,-1.06722,79.59889,-76.67111,150
ground_main_plane,-64.8864,-76.67111,188.89831,60
c_connector_arm_Q,85.78929,-1.85746,-83.53844,22
cross_Q,-1.85746,79.57323,-75.82341,150
ground_main_plane,-83.53844,-75.82341,206.51469,110
c_connector_arm_Q,47.26602,-0.62538,-46.40363,22
cross_Q,-0.62538,107.88864,-105.23494,200
ground_main_plane,-46.40363,-105.23494,204.13297,10
c_connector_arm_Q,66.30284,-1.02004,-64.94205,22
cross_Q,-1.02004,107.87908,-104.83437,200
ground_main_plane,-64.94205,-104.83437,222.18771,60
c_connector_arm_Q,85.89051,-1.71115,-83.72876,22
cross_Q,-1.71115,107.92309,-104.18367,200
ground_main_plane,-83.72876,-104.18367,240.12291,110
c_connector_arm_Q,105.45608,-2.67956,-102.2238,22
cross_Q,-2.67956,107.9046,-103.19415,200
ground_main_plane,-102.2238,-103.19415,257.53134,160
c_connector_arm_Q,46.62256,-0.61324,-45.82034,22
cross_Q,-0.61324,135.29728,-132.46304,250
ground_main_plane,-45.82034,-132.46304,236.08468,10
c_connector_arm_Q,66.25869,-0.98664,-65.00109,22
cross_Q,-0.98664,136.11802,-132.90165,250
ground_main_plane,-65.00109,-132.90165,255.09947,60
c_connector_arm_Q,85.845,-1.63917,-83.85959,22
cross_Q,-1.63917,136.3102,-132.44322,250
ground_main_plane,-83.85959,-132.44322,273.38467,110
c_connector_arm_Q,105.37825,-2.47056,-102.48128,22
cross_Q,-2.47056,136.28523,-131.58332,250
ground_main_plane,-102.48128,-131.58332,291.10413,160
c_connector_arm_Q,125.70368,-3.50768,-121.69212,22
cross_Q,-3.50768,136.61224,-130.89368,250
ground_main_plane,-121.69212,-130.89368,309.43472,210
c_connector_arm_Q,47.44213,-0.59854,-46.67336,22
cross_Q,-0.59854,165.18745,-162.30272,300
ground_main_plane,-46.67336,-162.30272,271.08321,10
c_connector_arm_Q,66.77082,-0.9672,-65.55672,22
cross_Q,-0.9672,165.37577,-162.12015,300
ground_main_plane,-65.55672,-162.12015,289.62567,60
c_connector_arm_Q,85.79498,-1.59946,-83.87493,22
cross_Q,-1.59946,164.9064,-161.0204,300
ground_main_plane,-83.87493,-161.0204,306.98786,110
c_connector_arm_Q,105.55327,-2.38823,-102.76835,22
cross_Q,-2.38823,165.12354,-160.44257,300
ground_main_plane,-102.76835,-160.44257,325.11995,160
c_connector_arm_Q,125.62262,-3.2747,-121.90597,22
cross_Q,-3.2747,165.15792,-159.65245,300
ground_main_plane,-121.90597,-159.65245,343.39953,210
c_connector_arm_Q,144.55748,-4.35175,-139.66402,22
cross_Q,-4.35175,165.01083,-158.35776,300
ground_main_plane,-139.66402,-158.35776,359.788,260
c_connector_arm_Q,47.26546,-0.58714,-46.51774,22
cross_Q,-0.58714,193.72852,-190.61705,350
ground_main_plane,-46.51774,-190.61705,303.67849,10
c_connector_arm_Q,66.40119,-0.94925,-65.22768,22
cross_Q,-0.94925,193.90644,-190.43771,350
ground_main_plane,-65.22768,-190.43771,321.98778,60
c_connector_arm_Q,85.74956,-1.56931,-83.88378,22
cross_Q,-1.56931,193.74322,-189.65406,350
ground_main_plane,-83.88378,-189.65406,339.92639,110
c_connector_arm_Q,105.49031,-2.33184,-102.78866,22
cross_Q,-2.33184,193.91956,-189.06857,350
ground_main_plane,-102.78866,-189.06857,358.00907,160
c_connector_arm_Q,125.02628,-3.17316,-121.4132,22
cross_Q,-3.17316,193.87571,-188.18093,350
ground_main_plane,-121.4132,-188.18093,375.71386,210
c_connector_arm_Q,144.59545,-4.08813,-140.00407,22
cross_Q,-4.08813,193.8403,-187.22977,350
ground_main_plane,-140.00407,-187.22977,393.30918,260
c_connector_arm_Q,165.14814,-5.18026,-159.41275,22
cross_Q,-5.18026,194.46035,-186.79103,350
ground_main_plane,-159.41275,-186.79103,412.048,310
c_connector_arm_Q,47.29595,-0.57886,-46.57649,22
cross_Q,-0.57886,222.44366,-219.2486,400
ground_main_plane,-46.57649,-219.2486,337.06479,10
c_connector_arm_Q,66.30662,-0.93409,-65.16471,22
cross_Q,-0.93409,222.39636,-218.84666,400
ground_main_plane,-65.16471,-218.84666,355.27972,60
c_connector_arm_Q,85.90236,-1.54759,-84.08455,22
cross_Q,-1.54759,222.53076,-218.37072,400
ground_main_plane,-84.08455,-218.37072,373.55355,110
c_connector_arm_Q,105.42814,-2.29655,-102.8038,22
cross_Q,-2.29655,222.52704,-217.61488,400
ground_main_plane,-102.8038,-217.61488,391.45672,160
c_connector_arm_Q,125.0138,-3.11097,-121.50851,22
cross_Q,-3.11097,222.51798,-216.79372,400
ground_main_plane,-121.50851,-216.79372,409.274,210
c_connector_arm_Q,144.50016,-3.97226,-140.07107,22
cross_Q,-3.97226,222.46419,-215.87882,400
ground_main_plane,-140.07107,-215.87882,426.86972,260
c_connector_arm_Q,164.77067,-4.89306,-159.35825,22
cross_Q,-4.89306,222.8821,-215.38324,400
ground_main_plane,-159.35825,-215.38324,445.44774,310
c_connector_arm_Q,184.82274,-5.99704,-178.24741,22
cross_Q,-5.99704,222.9574,-214.34674,400
ground_main_plane,-178.24741,-214.34674,463.17347,360
c_connector_arm_Q,47.21523,-0.57035,-46.50469,22
cross_Q,-0.57035,251.09574,-247.98835,450
ground_main_plane,-46.50469,-247.98835,370.69867,10
c_connector_arm_Q,66.2301,-0.92471,-65.11068,22
cross_Q,-0.92471,251.08986,-247.62561,450
ground_main_plane,-65.11068,-247.62561,388.89825,60
c_connector_arm_Q,85.7751,-1.53071,-83.98683,22
cross_Q,-1.53071,251.25817,-247.16496,450
ground_main_plane,-83.98683,-247.16496,407.05663,110
c_connector_arm_Q,105.3137,-2.26876,-102.73223,22
cross_Q,-2.26876,251.22024,-246.39808,450
ground_main_plane,-102.73223,-246.39808,425.0202,160
c_connector_arm_Q,124.84052,-3.06498,-121.40938,22
cross_Q,-3.06498,251.24833,-245.62099,450
ground_main_plane,-121.40938,-245.62099,442.83716,210
c_connector_arm_Q,145.00765,-3.89641,-140.69813,22
cross_Q,-3.89641,251.68477,-245.23545,450
ground_main_plane,-140.69813,-245.23545,461.43484,260
c_connector_arm_Q,164.28914,-4.76632,-159.04227,22
cross_Q,-4.76632,251.52408,-244.18842,450
ground_main_plane,-159.04227,-244.18842,478.79883,310
c_connector_arm_Q,183.70837,-5.70564,-177.47214,22
cross_Q,-5.70564,251.39846,-243.12319,450
ground_main_plane,-177.47214,-243.12319,496.14596,360
c_connector_arm_Q,203.17597,-6.80649,-195.79082,22
cross_Q,-6.80649,251.41484,-242.03607,450
ground_main_plane,-195.79082,-242.03607,513.32392,410
c_connector_arm_Q,47.12715,-0.5652,-46.43458,22
cross_Q,-0.5652,279.89021,-276.6334,500
ground_main_plane,-46.43458,-276.6334,403.82204,10
c_connector_arm_Q,66.23582,-0.91677,-65.13611,22
cross_Q,-0.91677,279.96052,-276.35161,500
ground_main_plane,-65.13611,-276.35161,422.11626,60
c_connector_arm_Q,85.77368,-1.52445,-84.01594,22
cross_Q,-1.52445,280.10327,-275.87722,500
ground_main_plane,-84.01594,-275.87722,440.3473,110
c_connector_arm_Q,105.36295,-2.25628,-102.8257,22
cross_Q,-2.25628,280.1768,-275.21819,500
ground_main_plane,-102.8257,-275.21819,458.40699,160
c_connector_arm_Q,125.17022,-3.04462,-121.79206,22
cross_Q,-3.04462,280.46264,-274.69909,500
ground_main_plane,-121.79206,-274.69909,476.61372,210
c_connector_arm_Q,144.38733,-3.86409,-140.14118,22
cross_Q,-3.86409,280.10481,-273.53602,500
ground_main_plane,-140.14118,-273.53602,493.98748,260
c_connector_arm_Q,164.00692,-4.71652,-158.86188,22
cross_Q,-4.71652,280.11388,-272.69385,500
ground_main_plane,-158.86188,-272.69385,511.80552,310
c_connector_arm_Q,183.72541,-5.58638,-177.66349,22
cross_Q,-5.58638,280.23148,-271.93377,500
ground_main_plane,-177.66349,-271.93377,529.67418,360
c_connector_arm_Q,203.37231,-6.52139,-196.32455,22
cross_Q,-6.52139,280.19973,-270.96157,500
ground_main_plane,-196.32455,-270.96157,547.17249,410
c_connector_arm_Q,222.89382,-7.63665,-214.681,22
cross_Q,-7.63665,280.21471,-269.86291,500
ground_main_plane,-214.681,-269.86291,564.51888,460
c_connector_arm_Q,50.44461,-0.54365,-49.51048,30
cross_Q,-0.54365,26.59929,-25.33174,50
ground_main_plane,-49.51048,-25.33174,114.20214,10
c_connector_arm_Q,50.44218,-0.57641,-49.53585,30
cross_Q,-0.57641,52.18605,-50.226,100
ground_main_plane,-49.53585,-50.226,142.95244,10
c_connector_arm_Q,69.56653,-0.93005,-68.17228,30
cross_Q,-0.93005,52.22291,-49.90894,100
ground_main_plane,-68.17228,-49.90894,161.07582,60
c_connector_arm_Q,50.47924,-0.55076,-49.65446,30
cross_Q,-0.55076,79.62531,-77.25692,150
ground_main_plane,-49.65446,-77.25692,174.65552,10
c_connector_arm_Q,69.51705,-0.86324,-68.2641,30
cross_Q,-0.86324,79.61476,-76.93394,150
ground_main_plane,-68.2641,-76.93394,192.8428,60
c_connector_arm_Q,89.58538,-1.45872,-87.6268,30
cross_Q,-1.45872,79.81945,-76.56094,150
ground_main_plane,-87.6268,-76.56094,211.70648,110
c_connector_arm_Q,50.4333,-0.5283,-49.66082,30
cross_Q,-0.5283,107.86382,-105.38125,200
ground_main_plane,-49.66082,-105.38125,207.90669,10
c_connector_arm_Q,69.44999,-0.82217,-68.2892,30
cross_Q,-0.82217,107.83823,-105.06486,200
ground_main_plane,-68.2892,-105.06486,226.1966,60
c_connector_arm_Q,89.0562,-1.33621,-87.28896,30
cross_Q,-1.33621,107.84239,-104.54802,200
ground_main_plane,-87.28896,-104.54802,244.39405,110
c_connector_arm_Q,108.62066,-2.08642,-106.01697,30
cross_Q,-2.08642,107.83421,-103.78903,200
ground_main_plane,-106.01697,-103.78903,262.27884,160
c_connector_arm_Q,50.43429,-0.52194,-49.70712,30
